Model Name,Param Name,File Size(Bytes),Comp Ratio(BDI1B),Comp Ratio(BDI2B),Comp Ratio(BDIZV)
GoogLeNet_Imagenet_output,ConvReLU2d_45_output2,40140,1.3355465971069476,1.0514207857882114,3.9983559391697443
GoogLeNet_Imagenet_output,ConvReLU2d_46_output0,25088,1.3078502029831676,0.9940959702024801,2.5270898125180965
GoogLeNet_Imagenet_output,ConvReLU2d_46_output1,25088,1.3100013706766567,0.9978125124289062,2.5986146177251213
GoogLeNet_Imagenet_output,ConvReLU2d_46_output2,25088,1.2132188042144452,0.9959507741167125,2.444628501827037
GoogLeNet_Imagenet_output,ConvReLU2d_47_output0,50176,1.4811447463580942,1.0980151869925812,3.64181379397942
GoogLeNet_Imagenet_output,ConvReLU2d_47_output1,50176,1.539105695421117,1.140752529271342,3.9658160190481797
GoogLeNet_Imagenet_output,ConvReLU2d_47_output2,50176,1.45609669392108,1.0899769735412952,3.650889511405388
GoogLeNet_Imagenet_output,ConvReLU2d_48_output0,5017,1.225895570494517,0.9922480620155014,1.3970963792198658
GoogLeNet_Imagenet_output,ConvReLU2d_48_output1,5017,1.221172369507381,0.9922480620155014,1.4336073518325685
GoogLeNet_Imagenet_output,ConvReLU2d_48_output2,5017,1.1419747791026817,0.9922480620155014,1.3108813392417487
GoogLeNet_Imagenet_output,ConvReLU2d_49_output0,20070,1.4072604014822867,1.0703427640191279,3.4496297571895913
GoogLeNet_Imagenet_output,ConvReLU2d_49_output1,20070,1.516312164105668,1.1730741076918565,3.773392983282308
GoogLeNet_Imagenet_output,ConvReLU2d_49_output2,20070,1.4914194244872114,1.1666521068110998,3.768867147997451
